experiment_name,model_type,feature_set,hyperparameters,backtest_type,backtest_days,test_start,test_end,mae_usd,wape_pct,rmse_usd,low_price_mae_usd,runtime_seconds,notes,created_at
lgbm_direct_24h_30d_v1,lightgbm_direct_24h,robust,"{""objective"": ""regression_l1"", ""metric"": ""mae"", ""learning_rate"": 0.03, ""n_estimators"": 250, ""num_leaves"": 31, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""verbose"": -1, ""n_jobs"": -1}",walk_forward,365,2025-08-11,2026-08-13,9.6495,18.94,14.3209,14.1171,379.31,24 Direct Hourly LightGBM specialist models with 30-day walk-forward updates.,2026-08-13T13:45:23.420823
lgbm_direct_24h_daily_v1,lightgbm_direct_24h,robust,"{""objective"": ""regression_l1"", ""metric"": ""mae"", ""learning_rate"": 0.03, ""n_estimators"": 250, ""num_leaves"": 31, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""verbose"": -1, ""n_jobs"": -1}",walk_forward,365,2025-08-11,2026-08-13,8.1528,16.0,12.4495,9.6215,10866.62,24 Direct Hourly LightGBM specialist models with 30-day walk-forward updates.,2026-08-13T16:49:01.716241
